BUSKBO,79299016,675,Chairs,        Armchair,IKEA of Sweden/A Fredriksson/J Hultqvist/W Chong,42,72
JOKKMOKK,90342688,79.2,Chairs,        Chair,Carina Bengs,90,41
ODGER,70308685,395,Chairs,        Swivel chair,J Löfgren/J Pettersson,,68
TOBIAS,80349671,345,Chairs,        Chair,Carl Öjerstam,82,55
TULLSTA,29272712,545,Chairs,        Armchair,IKEA of Sweden,78,79
VEDBO,40423578,975,Chairs,        Armchair,Francis Cayouette,75,73
HARRY,60105829,199,Chairs,        Chair,IKEA of Sweden,96,48
IKEA PS LÖMSK,10407136,345,Chairs,        Swivel armchair,Monika Mulder,75,59
LOBERGET / SIBBEN,59337670,95,Chairs,        Children's desk chair,593.376.70 Height adjustable children's desk chair which you can swivel to the desired height.You sit comfortably since the chair is adjustable in height.May be completed with KOLON floor protector.This product has been tested for domestic use.Recommended for ages 7 – 12 years.,,56
POÄNG,90116553,179,Chairs,        Children's armchair,Noboru Nakamura,68,47
SÖDERHAMN,29151296,1100,Chairs,        Chaise longue,Ola Wihlborg,83,93
MACKAPÄR,10334753,295,Chairs,        Bench with storage compartments/          100x51 cm,Eva Lilja Löwenhielm,51,100
